,link,brand,price,sales,stars,batteries_included,mini,flight_time,is_fpv,resolution,wifi_freq,wifi,gps,remote_control,portable,helix_protector,autoreturn,full_turn,altitude_retention,dual_camara,distance,follow_func
69,https://articulo.mercadolibre.com.mx/MLM-1639226907-drone-con-camara-profesional-8k-a-control-remoto-gps-5ghz-_JM#position=13&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,qilay,1349,100,4.0,True,True,True,True,8,5.0,True,True,True,False,False,False,False,False,False,200,False
70,https://articulo.mercadolibre.com.mx/MLM-2155059462-control-remoto-mini-drones-con-par-camara-4k-2bateria-_JM#position=38&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,zhixing,449,1000,4.0,True,True,True,True,4,2.4,True,False,True,True,False,False,False,False,False,200,False
71,https://articulo.mercadolibre.com.mx/MLM-1855153137-dron-cuadricoptero-drone-xt9-app-control-remoto-camara-4k-hd-_JM#position=24&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,generic,546,25,4.0,True,True,True,True,4,2.4,True,False,True,True,False,False,False,False,False,200,False
72,https://www.mercadolibre.com.mx/mini-drone-eachine-e010-rojo-1-bateria/p/MLM9663992?pdp_filters=category:MLM149102#searchVariation=MLM9663992&position=3&search_layout=stack&type=product&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,eachine,820,100,4.0,True,True,True,False,0,2.4,False,False,True,False,True,True,True,False,False,200,False
73,https://articulo.mercadolibre.com.mx/MLM-1926310163-drone-con-camara-dual-drone-4k-evasion-de-obstaculos-_JM#position=14&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,3dr,842,3,4.0,True,True,True,True,4,2.4,True,True,True,True,False,False,False,False,True,200,False
76,https://articulo.mercadolibre.com.mx/MLM-859482355-holy-stone-dron-gps-hs510-con-camara-4k-funcion-sigueme-_JM#position=54&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,holy_tone,3963,5,4.0,True,False,True,True,4,2.4,True,True,True,False,False,False,False,False,False,200,False
77,https://articulo.mercadolibre.com.mx/MLM-1912735138-dron-profesional-sjrc-f22s-4k-pro-gps-35min-con-2-baterias-_JM#position=37&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,sjrc,7863,100,4.2,True,False,True,True,4,2.4,True,True,True,True,False,True,False,False,False,200,True
78,https://articulo.mercadolibre.com.mx/MLM-1665929051-drone-axnen-s5s-con-camara-dual-4k-sin-escobillas-3-baterias-_JM#position=51&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,axnen,1009,100,4.4,True,True,True,True,4,2.4,True,False,True,True,False,False,True,False,True,100,False
79,https://articulo.mercadolibre.com.mx/MLM-2546627150-dji-mini-3-dji-rc-dron-mini-con-camara-video-4k-_JM#position=23&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,dji,12999,2,4.0,False,True,True,False,0,2.4,False,False,False,False,False,False,False,False,False,200,False
80,https://www.mercadolibre.com.mx/drone-zll-sg906-max1-with-obstacle-avoider-con-camara-4k-negro-5ghz-2-baterias/p/MLM18606387?pdp_filters=category:MLM149102#searchVariation=MLM18606387&position=4&search_layout=stack&type=product&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,zll,7990,5,4.0,True,True,True,False,4,5.0,True,True,True,True,False,True,False,True,False,200,True
81,https://articulo.mercadolibre.com.mx/MLM-2164622056-dron-s1s-con-camara-4k-plegable-con-camara-dual-y-3-baterias-_JM#position=33&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,xinmall,898,5,4.0,True,True,True,True,4,2.4,True,False,True,True,False,False,False,False,True,200,False
83,https://articulo.mercadolibre.com.mx/MLM-1923157011-dron-cuadricoptero-con-control-remoto-camara-4k-1-bateria-_JM#position=26&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,soonhua,397,25,4.3,True,True,True,True,4,24.0,True,False,True,True,False,False,False,False,False,200,False
84,https://articulo.mercadolibre.com.mx/MLM-1869093461-drone-con-camara-profesional-8k-a-control-remoto-gps2-pilas-_JM#position=45&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,zwd,1577,100,3.5,True,True,True,False,3,5.0,True,True,True,False,False,False,False,False,True,7000,False
86,https://articulo.mercadolibre.com.mx/MLM-1639747429-drone-con-camara-profesional-4k-a-control-remoto-24ghz-_JM#position=52&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,qilay,399,100,4.0,True,True,True,True,4,2.4,True,True,True,False,False,False,False,False,False,200,False
87,https://articulo.mercadolibre.com.mx/MLM-1421295292-dron-con-camara-4kcamara-gran-angular-mini-drone-quadcopter-_JM#position=27&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,generic,421,100,3.2,True,True,True,False,4,2.4,True,False,True,False,False,False,False,False,False,30000,False
88,https://articulo.mercadolibre.com.mx/MLM-2292737126-dron-profesional-con-camara-8k-gps-de-5ghz-a-control-remoto-_JM#position=34&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,bh,2091,5,4.0,False,True,True,False,1,5.0,False,True,True,False,False,False,False,False,False,200,False
89,https://articulo.mercadolibre.com.mx/MLM-1737978523-mini-drone-deerc-d20-con-camara-hd-plateado-2-baterias-_JM#position=56&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,catlicaisabella,613,25,4.0,True,True,True,False,2,2.4,True,False,True,False,False,False,False,False,False,1200,False
90,https://articulo.mercadolibre.com.mx/MLM-890682734-bateria-drone-litio-lw-952540-37v-1000-mah-bateria-pila-_JM#position=30&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,generic,189,25,3.7,True,True,True,False,0,1.2,False,False,True,False,False,False,False,False,False,100,False
91,https://articulo.mercadolibre.com.mx/MLM-1652649616-mini-drone-con-camara-l900-gps-fpv-profesional-control-4k-hd-_JM#position=44&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,zll,2145,1000,4.0,True,True,True,True,4,5.0,True,True,True,True,False,False,False,False,False,200,False
92,https://articulo.mercadolibre.com.mx/MLM-2411621932-minidron-s85-pro-recargable-4k-con-camara-doble-y-2-baterias-_JM#position=18&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,universal,398,100,4.0,True,True,True,True,4,2.4,True,True,True,False,False,False,False,False,False,0,False
93,https://articulo.mercadolibre.com.mx/MLM-1904492425-drone-con-gps-camara-4k-hd-motor-sin-escobilla-3-pilas-_JM#position=29&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,jazimerch,659,5,4.0,True,True,True,True,2,2.0,True,True,True,True,False,False,False,False,False,3000,False
94,https://www.mercadolibre.com.mx/drone-holy-stone-hs720-con-camara-4k-negro-5ghz-1-bateria/p/MLM17804095?pdp_filters=category:MLM149102#searchVariation=MLM17804095&position=5&search_layout=stack&type=product&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,holy_tone,7844,25,4.0,True,True,True,True,4,5.0,True,True,True,True,False,True,False,False,False,3000,True
